,1stFlrSF,2ndFlrSF,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,RoofStyle,SaleCondition,SaleType,ScreenPorch,TotRmsAbvGrd,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold,TotalSq
10,1040,0,None,3,1Fam,3,0,906.0,0.0,3,Unf,1.0,0.0,3,134.0,Y,Norm,5,0,3,3,HdBoard,HdBoard,0,0,0,CBlock,1,8,384.0,1.0,3,1,3,0,1965.0,1040,0,GasA,5,1Story,1,3,Lvl,Gtl,11200,Inside,70.0,4,20,RL,0.0,None,None,2,Sawyer,0,5,5,3,Hip,Normal,WD,0,5,1040.0,0,1965,1965,2008,2080.0
11,1182,1142,None,4,1Fam,3,0,998.0,0.0,6,Unf,1.0,0.0,5,177.0,Y,Norm,5,0,3,5,WdShing,Wd Shng,0,4,2,PConc,3,8,736.0,3.0,3,3,3,0,2005.0,2324,0,GasA,5,2Story,1,5,Lvl,Gtl,11924,Inside,85.0,3,60,RL,286.0,Stone,None,7,NridgHt,21,5,9,3,Hip,Partial,New,0,11,1175.0,147,2005,2006,2006,3499.0
12,912,0,None,2,1Fam,3,0,737.0,0.0,5,Unf,1.0,0.0,3,175.0,Y,Norm,5,0,3,3,HdBoard,Plywood,0,0,0,CBlock,1,8,352.0,1.0,3,1,3,0,1962.0,912,0,GasA,3,1Story,1,3,Lvl,Gtl,12968,Inside,,2,20,RL,0.0,None,None,9,Sawyer,0,6,5,3,Hip,Normal,WD,176,4,912.0,140,1962,1962,2008,1824.0
13,1494,0,None,3,1Fam,3,0,0.0,0.0,1,Unf,0.0,0.0,4,1494.0,Y,Norm,5,0,3,4,VinylSd,VinylSd,0,4,1,PConc,2,8,840.0,3.0,3,2,3,0,2006.0,1494,0,GasA,5,1Story,1,4,Lvl,Gtl,10652,Inside,91.0,3,20,RL,306.0,Stone,None,8,CollgCr,33,5,7,3,Gable,Partial,New,0,7,1494.0,160,2006,2007,2007,2988.0
14,1253,0,None,2,1Fam,3,0,733.0,0.0,4,Unf,1.0,0.0,3,520.0,Y,Norm,5,176,3,3,MetalSd,MetalSd,2,2,1,CBlock,1,8,352.0,1.0,3,2,3,0,1960.0,1253,1,GasA,3,1Story,1,3,Lvl,Gtl,10920,Corner,,3,20,RL,212.0,BrkFace,None,5,NAmes,213,5,6,3,Hip,Normal,WD,0,5,1253.0,0,1960,1960,2008,2506.0
15,854,0,None,2,1Fam,3,0,0.0,0.0,1,Unf,0.0,0.0,3,832.0,Y,Norm,4,0,3,3,Wd Sdng,Wd Sdng,4,0,0,BrkTil,1,8,576.0,2.0,3,1,3,0,1991.0,854,0,GasA,5,1.5Unf,1,3,Lvl,Gtl,6120,Corner,51.0,4,45,RM,0.0,None,None,7,BrkSide,112,8,7,3,Gable,Normal,WD,0,5,832.0,48,1929,2001,2007,1686.0
16,1004,0,None,2,1Fam,3,0,578.0,0.0,5,Unf,1.0,0.0,3,426.0,Y,Norm,5,0,3,3,Wd Sdng,Wd Sdng,0,3,1,CBlock,1,8,480.0,2.0,3,3,3,0,1970.0,1004,0,GasA,5,1Story,1,3,Lvl,Gtl,11241,CulDSac,,3,20,RL,180.0,BrkFace,Shed,3,NAmes,0,7,6,3,Gable,Normal,WD,0,5,1004.0,0,1970,1970,2010,2008.0
17,1296,0,None,2,Duplex,0,0,0.0,0.0,0,None,0.0,0.0,0,0.0,Y,Norm,5,0,3,3,MetalSd,MetalSd,0,0,0,Slab,2,8,516.0,2.0,3,1,3,0,1967.0,1296,0,GasA,3,1Story,2,3,Lvl,Gtl,10791,Inside,72.0,4,90,RL,0.0,None,Shed,10,Sawyer,0,5,4,3,Gable,Normal,WD,0,6,0.0,0,1967,1967,2006,1296.0
18,1114,0,None,3,1Fam,3,0,646.0,0.0,6,Unf,1.0,0.0,3,468.0,Y,RRAe,5,0,3,3,VinylSd,VinylSd,0,0,0,PConc,1,8,576.0,2.0,3,1,3,0,2004.0,1114,1,GasA,5,1Story,1,4,Lvl,Gtl,13695,Inside,66.0,4,20,RL,0.0,None,None,6,SawyerW,102,5,5,3,Gable,Normal,WD,0,6,1114.0,0,2004,2004,2008,2228.0
19,1339,0,None,3,1Fam,3,0,504.0,0.0,2,Unf,0.0,0.0,3,525.0,Y,Norm,5,0,3,3,BrkFace,Plywood,3,0,0,CBlock,1,7,294.0,1.0,3,1,3,0,1958.0,1339,0,GasA,3,1Story,1,3,Lvl,Gtl,7560,Inside,70.0,4,20,RL,0.0,None,None,5,NAmes,0,6,5,3,Hip,Abnorml,COD,0,6,1029.0,0,1958,1965,2009,2368.0
20,1158,1218,None,4,1Fam,3,0,0.0,0.0,1,Unf,0.0,0.0,5,1158.0,Y,Norm,5,0,3,4,VinylSd,VinylSd,0,4,1,PConc,3,8,853.0,3.0,3,2,3,0,2005.0,2376,1,GasA,5,2Story,1,4,Lvl,Gtl,14215,Corner,101.0,3,60,RL,380.0,BrkFace,None,11,NridgHt,154,5,8,3,Gable,Partial,New,0,9,1158.0,240,2005,2006,2006,3534.0
21,1108,0,Grvl,3,1Fam,3,0,0.0,0.0,1,Unf,0.0,0.0,3,637.0,Y,Norm,3,205,3,3,Wd Sdng,Wd Sdng,4,4,1,PConc,1,8,280.0,1.0,3,1,3,0,1930.0,1108,0,GasA,5,1.5Unf,1,4,Bnk,Gtl,7449,Inside,57.0,4,45,RM,0.0,None,None,6,IDOTRR,0,7,7,1,Gable,Normal,WD,0,6,637.0,0,1930,1950,2007,1745.0
22,1795,0,None,3,1Fam,3,0,0.0,0.0,1,Unf,0.0,0.0,4,1777.0,Y,Norm,5,0,3,4,VinylSd,VinylSd,0,4,1,PConc,2,8,534.0,2.0,3,2,3,0,2002.0,1795,0,GasA,5,1Story,1,4,Lvl,Gtl,9742,Inside,75.0,4,20,RL,281.0,BrkFace,None,9,CollgCr,159,5,8,3,Hip,Normal,WD,0,7,1777.0,171,2002,2002,2008,3572.0
23,1060,0,None,3,TwnhsE,3,0,840.0,0.0,6,Unf,1.0,0.0,4,200.0,Y,Norm,5,0,3,3,CemntBd,CmentBd,0,3,1,PConc,1,8,572.0,2.0,3,1,3,0,1976.0,1060,0,GasA,3,1Story,1,3,Lvl,Gtl,4224,Inside,44.0,4,120,RM,0.0,None,None,6,MeadowV,110,7,5,3,Gable,Normal,WD,0,6,1040.0,100,1976,1976,2007,2100.0
24,1060,0,None,3,1Fam,3,0,188.0,668.0,3,ALQ,1.0,0.0,3,204.0,Y,Norm,5,0,4,3,Plywood,Plywood,3,3,1,CBlock,1,8,270.0,1.0,3,1,3,0,1968.0,1060,0,GasA,5,1Story,1,4,Lvl,Gtl,8246,Inside,,3,20,RL,0.0,None,None,5,Sawyer,90,8,5,3,Gable,Normal,WD,0,6,1060.0,406,1968,2001,2010,2120.0
25,1600,0,None,3,1Fam,3,0,0.0,0.0,1,Unf,0.0,0.0,4,1566.0,Y,Norm,5,0,3,4,VinylSd,VinylSd,0,4,1,PConc,2,8,890.0,3.0,3,2,3,0,2007.0,1600,0,GasA,5,1Story,1,4,Lvl,Gtl,14230,Corner,110.0,4,20,RL,640.0,Stone,None,7,NridgHt,56,5,8,3,Gable,Normal,WD,0,7,1566.0,0,2007,2007,2009,3166.0
26,900,0,None,3,1Fam,3,0,234.0,486.0,4,Rec,0.0,1.0,3,180.0,Y,Norm,5,0,3,3,Wd Sdng,Wd Sdng,0,0,0,CBlock,1,8,576.0,2.0,3,1,3,0,2005.0,900,0,GasA,3,1Story,1,4,Lvl,Gtl,7200,Corner,60.0,4,20,RL,0.0,None,None,5,NAmes,32,7,5,3,Gable,Normal,WD,0,5,900.0,222,1951,2000,2010,1800.0
27,1704,0,None,3,1Fam,3,0,1218.0,0.0,6,Unf,1.0,0.0,5,486.0,Y,Norm,5,0,3,4,VinylSd,VinylSd,0,4,1,PConc,2,8,772.0,3.0,3,2,3,0,2008.0,1704,0,GasA,5,1Story,1,4,Lvl,Gtl,11478,Inside,98.0,4,20,RL,200.0,Stone,None,5,NridgHt,50,5,8,3,Gable,Normal,WD,0,7,1704.0,0,2007,2008,2010,3408.0
28,1600,0,None,2,1Fam,3,0,1277.0,0.0,4,Unf,1.0,0.0,3,207.0,Y,Norm,5,0,3,3,MetalSd,MetalSd,0,4,2,CBlock,1,8,319.0,1.0,3,2,3,0,1957.0,1600,0,GasA,3,1Story,1,3,Lvl,Gtl,16321,CulDSac,47.0,3,20,RL,0.0,None,None,12,NAmes,258,6,5,3,Gable,Normal,WD,0,6,1484.0,288,1957,1997,2006,3084.0
29,520,0,None,1,1Fam,3,0,0.0,0.0,1,Unf,0.0,0.0,3,520.0,N,Feedr,5,87,3,3,MetalSd,MetalSd,0,0,0,BrkTil,1,8,240.0,1.0,3,1,2,0,1920.0,520,0,GasA,2,1Story,1,2,Lvl,Gtl,6324,Inside,60.0,3,30,RM,0.0,None,None,5,BrkSide,0,6,4,3,Gable,Normal,WD,0,4,520.0,49,1927,1950,2008,1040.0
30,649,668,Pave,3,1Fam,3,0,0.0,0.0,1,Unf,0.0,0.0,3,649.0,N,Feedr,5,172,2,3,BrkFace,BrkFace,3,0,0,BrkTil,1,8,250.0,1.0,2,1,3,0,1920.0,1317,0,GasA,3,2Story,1,3,Lvl,Gtl,8500,Inside,50.0,4,70,C (all),0.0,None,None,7,IDOTRR,54,4,4,1,Gambrel,Normal,WD,0,6,649.0,0,1920,1950,2008,1966.0
31,1228,0,None,3,1Fam,3,0,0.0,0.0,1,Unf,0.0,0.0,3,1228.0,Y,Norm,5,0,3,3,HdBoard,HdBoard,3,0,0,CBlock,1,8,271.0,1.0,3,1,3,0,1966.0,1228,1,GasA,4,1Story,1,4,Lvl,Gtl,8544,CulDSac,,3,20,RL,0.0,None,None,6,Sawyer,65,6,5,3,Gable,Normal,WD,0,6,1228.0,0,1966,2006,2008,2456.0
32,1234,0,None,3,1Fam,3,0,0.0,0.0,1,Unf,0.0,0.0,5,1234.0,Y,Norm,5,0,3,4,VinylSd,VinylSd,0,0,0,PConc,2,8,484.0,2.0,3,2,3,0,2007.0,1234,0,GasA,5,1Story,1,4,Lvl,Gtl,11049,Corner,85.0,4,20,RL,0.0,None,None,1,CollgCr,30,5,8,3,Gable,Normal,WD,0,7,1234.0,0,2007,2007,2008,2468.0
33,1700,0,None,4,1Fam,3,0,1018.0,0.0,3,Unf,0.0,1.0,3,380.0,Y,Norm,5,0,3,3,BrkFace,BrkFace,0,4,1,CBlock,1,8,447.0,2.0,3,2,3,0,1959.0,1700,1,GasA,4,1Story,1,4,Lvl,Gtl,10552,Inside,70.0,3,20,RL,0.0,None,None,4,NAmes,38,5,5,3,Hip,Normal,WD,0,6,1398.0,0,1959,1959,2010,3098.0
34,1561,0,None,2,TwnhsE,3,0,1153.0,0.0,6,Unf,1.0,0.0,5,408.0,Y,Norm,5,0,3,5,MetalSd,MetalSd,0,4,1,PConc,2,8,556.0,2.0,3,3,3,0,2005.0,1561,0,GasA,5,1Story,1,5,Lvl,Gtl,7313,Inside,60.0,4,120,RL,246.0,BrkFace,None,8,NridgHt,47,5,9,3,Hip,Normal,WD,0,6,1561.0,203,2005,2005,2007,3122.0
35,1132,1320,None,4,1Fam,3,0,0.0,0.0,1,Unf,0.0,0.0,5,1117.0,Y,Norm,5,0,3,4,VinylSd,VinylSd,0,4,1,PConc,3,8,691.0,3.0,3,3,3,0,2004.0,2452,1,GasA,5,2Story,1,4,Lvl,Gtl,13418,Inside,108.0,4,60,RL,132.0,Stone,None,9,NridgHt,32,5,8,3,Gable,Normal,WD,0,9,1117.0,113,2004,2005,2006,3569.0
36,1097,0,None,3,1Fam,3,0,0.0,0.0,1,Unf,0.0,0.0,4,1097.0,Y,Norm,5,0,3,3,VinylSd,VinylSd,0,0,0,PConc,1,8,672.0,2.0,3,1,3,0,1995.0,1097,1,GasA,5,1Story,1,3,Lvl,Gtl,10859,Corner,112.0,4,20,RL,0.0,None,None,6,CollgCr,64,5,5,3,Gable,Normal,WD,0,6,1097.0,392,1994,1995,2009,2194.0
37,1297,0,None,3,1Fam,3,0,1213.0,0.0,3,Unf,0.0,1.0,3,84.0,Y,Norm,5,0,3,3,Wd Sdng,Wd Sdng,0,3,1,CBlock,1,8,498.0,2.0,3,3,3,0,1954.0,1297,0,GasA,4,1Story,1,3,Lvl,Gtl,8532,Inside,74.0,4,20,RL,650.0,BrkFace,None,10,NAmes,0,6,5,3,Hip,Normal,WD,0,5,1297.0,0,1954,1990,2009,2594.0
38,1057,0,None,3,1Fam,3,0,731.0,0.0,6,Unf,1.0,0.0,3,326.0,Y,Norm,5,0,4,3,VinylSd,VinylSd,0,0,0,CBlock,1,8,246.0,1.0,3,1,3,0,1953.0,1057,0,GasA,3,1Story,1,4,Lvl,Gtl,7922,Inside,68.0,4,20,RL,0.0,None,None,1,NAmes,52,7,5,3,Gable,Abnorml,WD,0,5,1057.0,0,1953,2007,2010,2114.0
39,1152,0,None,2,Duplex,0,0,0.0,0.0,0,None,0.0,0.0,0,0.0,N,Norm,2,0,3,3,AsbShng,Plywood,0,0,0,PConc,2,8,0.0,0.0,0,0,0,0,,1152,0,GasA,3,1Story,2,2,Lvl,Gtl,6040,Inside,65.0,4,90,RL,0.0,None,None,6,Edwards,0,5,4,1,Gable,AdjLand,WD,0,6,0.0,0,1955,1955,2008,1152.0
40,1324,0,None,3,1Fam,3,0,643.0,0.0,3,Unf,0.0,0.0,3,445.0,Y,Norm,5,0,3,3,Wd Sdng,Wd Sdng,2,3,1,CBlock,2,8,440.0,2.0,3,2,3,0,1965.0,1324,0,GasA,5,1Story,1,3,Lvl,Gtl,8658,Inside,84.0,4,20,RL,101.0,BrkFace,None,12,NAmes,138,5,6,3,Gable,Abnorml,WD,0,6,1088.0,0,1965,1965,2006,2412.0
41,1328,0,None,2,1Fam,3,0,967.0,0.0,4,Unf,0.0,1.0,3,383.0,Y,Norm,5,0,4,3,VinylSd,VinylSd,0,4,2,CBlock,1,8,308.0,1.0,3,2,3,0,1959.0,1328,1,GasA,4,1Story,1,3,Lvl,Gtl,16905,Inside,115.0,4,20,RL,0.0,None,None,7,Timber,104,6,5,2,Gable,Normal,WD,0,5,1350.0,0,1959,1959,2007,2678.0
42,884,0,None,2,1Fam,3,0,747.0,93.0,5,LwQ,1.0,0.0,4,0.0,Y,Norm,5,0,3,3,HdBoard,HdBoard,3,0,0,CBlock,1,8,504.0,2.0,4,2,3,0,1983.0,884,0,GasA,4,SFoyer,1,4,Lvl,Gtl,9180,CulDSac,,3,85,RL,0.0,None,None,12,SawyerW,0,7,5,3,Gable,Normal,WD,0,5,840.0,240,1983,1983,2007,1724.0
43,938,0,None,3,1Fam,3,0,280.0,491.0,2,BLQ,1.0,0.0,4,167.0,Y,Norm,5,0,3,3,VinylSd,VinylSd,3,0,0,CBlock,1,8,308.0,1.0,3,1,3,0,1977.0,938,0,GasA,3,1Story,1,3,Lvl,Gtl,9200,CulDSac,,3,20,RL,0.0,None,None,7,CollgCr,0,6,5,3,Hip,Normal,WD,0,5,938.0,145,1975,1980,2008,1876.0
44,1150,0,None,3,1Fam,3,0,179.0,506.0,5,BLQ,1.0,0.0,3,465.0,Y,Norm,4,0,3,3,BrkFace,Wd Sdng,0,0,0,CBlock,1,8,300.0,1.0,3,2,3,0,1959.0,1150,0,GasA,5,1Story,1,3,Lvl,Gtl,7945,Inside,70.0,4,20,RL,0.0,None,None,5,NAmes,0,6,5,3,Gable,Normal,WD,0,6,1150.0,0,1959,1959,2006,2300.0
45,1752,0,None,2,TwnhsE,3,0,456.0,0.0,6,Unf,1.0,0.0,5,1296.0,Y,Norm,5,0,3,5,MetalSd,MetalSd,0,4,1,PConc,2,8,576.0,2.0,3,2,3,0,2005.0,1752,0,GasA,5,1Story,1,5,Lvl,Gtl,7658,Inside,61.0,4,120,RL,412.0,BrkFace,None,2,NridgHt,82,5,9,3,Hip,Normal,WD,0,6,1752.0,196,2005,2005,2010,3504.0
46,1518,631,None,1,1Fam,3,0,1351.0,0.0,6,Unf,1.0,0.0,5,83.0,Y,Norm,5,0,3,4,VinylSd,VinylSd,0,5,1,PConc,1,8,670.0,2.0,3,2,3,0,2003.0,2149,1,GasA,5,1.5Fin,1,4,Lvl,Gtl,12822,CulDSac,48.0,3,50,RL,0.0,None,None,8,Mitchel,43,5,7,3,Gable,Abnorml,WD,198,6,1434.0,168,2003,2003,2009,3583.0
47,1656,0,None,3,1Fam,3,0,24.0,0.0,6,Unf,0.0,0.0,4,1632.0,Y,Norm,5,0,3,4,VinylSd,VinylSd,0,0,0,PConc,2,8,826.0,3.0,3,2,3,0,2006.0,1656,0,GasA,5,1Story,1,4,Lvl,Gtl,11096,Inside,84.0,4,20,FV,0.0,None,None,7,Somerst,146,5,8,3,Gable,Normal,WD,0,7,1656.0,0,2006,2006,2007,3312.0
48,736,716,None,2,2fmCon,3,0,0.0,0.0,1,Unf,0.0,0.0,3,736.0,Y,Norm,5,102,3,3,MetalSd,MetalSd,0,0,0,BrkTil,2,8,0.0,0.0,0,0,0,0,,1452,0,GasA,4,2Story,3,3,Lvl,Gtl,4456,Inside,33.0,4,190,RM,0.0,None,None,6,OldTown,0,5,4,1,Gable,Partial,New,0,8,736.0,0,1920,2008,2009,2188.0
49,955,0,None,3,1Fam,3,0,763.0,0.0,4,Unf,1.0,0.0,3,192.0,Y,Norm,5,0,3,3,HdBoard,HdBoard,3,0,0,CBlock,1,8,386.0,1.0,3,1,3,0,1966.0,955,0,GasA,5,1Story,1,3,Lvl,Gtl,7742,Inside,66.0,4,20,RL,0.0,None,None,1,Sawyer,0,7,5,3,Gable,Normal,WD,0,6,955.0,0,1966,1966,2007,1910.0
50,794,676,None,3,1Fam,3,0,182.0,0.0,6,Unf,0.0,1.0,4,612.0,Y,Norm,5,0,3,3,VinylSd,VinylSd,0,0,0,PConc,2,8,388.0,2.0,3,3,3,0,1997.0,1470,0,GasA,4,2Story,1,3,Lvl,Gtl,13869,Corner,,2,60,RL,0.0,None,None,7,Gilbert,75,6,6,3,Gable,Normal,WD,0,6,794.0,0,1997,1997,2007,2264.0
51,816,0,None,3,1Fam,3,0,0.0,0.0,1,Unf,0.0,0.0,3,816.0,Y,Norm,5,0,3,3,Wd Sdng,Wd Sdng,3,4,1,PConc,1,8,528.0,2.0,3,1,3,0,1985.0,1176,0,GasA,3,1.5Fin,1,3,Lvl,Gtl,6240,Inside,52.0,4,50,RM,0.0,None,Shed,9,BrkSide,0,6,6,3,Gable,Normal,WD,0,6,816.0,112,1934,1950,2006,1992.0
52,816,0,None,2,Duplex,3,0,104.0,712.0,2,GLQ,1.0,0.0,4,0.0,N,RRNn,5,0,3,2,Wd Sdng,Wd Sdng,0,0,0,CBlock,1,8,516.0,2.0,3,1,3,0,1963.0,816,0,GasA,3,1Story,1,3,Bnk,Mod,8472,Corner,110.0,2,90,RM,0.0,None,None,5,IDOTRR,0,5,5,3,Gable,Normal,WD,0,5,816.0,106,1963,1963,2010,1632.0
53,1842,0,None,0,1Fam,3,0,1810.0,0.0,6,Unf,2.0,0.0,5,32.0,Y,Norm,5,0,3,4,WdShing,Wd Shng,0,4,1,CBlock,0,8,894.0,3.0,3,3,3,0,1981.0,1842,1,GasA,4,1Story,1,4,Low,Gtl,50271,Inside,68.0,3,20,RL,0.0,None,None,11,Veenker,72,5,9,3,Gable,Normal,WD,0,5,1842.0,857,1981,1987,2006,3684.0
54,1360,0,None,3,1Fam,3,0,384.0,0.0,5,Unf,0.0,0.0,3,0.0,Y,Norm,5,0,3,3,MetalSd,MetalSd,3,3,1,CBlock,1,7,572.0,2.0,3,1,3,0,1962.0,1360,0,GasA,3,SLvl,1,3,Bnk,Mod,7134,Inside,60.0,4,80,RL,0.0,None,None,2,NAmes,50,5,5,3,Gable,Normal,WD,0,6,384.0,0,1955,1955,2007,1744.0
55,1425,0,None,3,1Fam,3,0,490.0,0.0,4,Unf,0.0,0.0,3,935.0,Y,Norm,5,0,3,3,HdBoard,Plywood,0,4,1,CBlock,2,8,576.0,2.0,3,2,3,0,1964.0,1425,0,GasA,4,1Story,1,3,Lvl,Gtl,10175,Inside,100.0,3,20,RL,272.0,BrkFace,None,7,NAmes,0,5,6,3,Gable,Normal,WD,0,7,1425.0,0,1964,1964,2008,2850.0
56,983,756,Pave,3,Twnhs,3,0,649.0,0.0,6,Unf,1.0,0.0,4,321.0,Y,Norm,5,0,3,4,MetalSd,MetalSd,0,0,0,PConc,2,8,480.0,2.0,3,3,3,0,1999.0,1739,1,GasA,5,2Story,1,4,Lvl,Gtl,2645,Inside,24.0,4,160,FV,456.0,BrkFace,None,8,Somerst,0,5,8,3,Gable,Abnorml,WD,0,7,970.0,115,1999,2000,2009,2709.0
57,860,860,None,3,1Fam,3,0,0.0,0.0,1,Unf,0.0,0.0,4,860.0,Y,Norm,5,0,3,4,VinylSd,VinylSd,0,0,0,PConc,2,8,565.0,2.0,3,2,3,0,2004.0,1720,1,GasA,5,2Story,1,4,Lvl,Gtl,11645,Corner,89.0,3,60,RL,0.0,None,None,8,CollgCr,70,5,7,3,Gable,Normal,WD,0,7,860.0,0,2004,2004,2006,2580.0
58,1426,1519,None,3,1Fam,3,0,0.0,0.0,1,Unf,0.0,0.0,5,1410.0,Y,Norm,5,37,3,5,VinylSd,VinylSd,0,4,1,PConc,3,8,641.0,3.0,3,3,3,0,2006.0,2945,1,GasA,5,2Story,1,4,HLS,Gtl,13682,CulDSac,66.0,2,60,RL,1031.0,BrkFace,None,10,StoneBr,0,5,10,3,Hip,Partial,New,0,10,1410.0,192,2006,2006,2006,4355.0
